Id,Title,Description,link,condition,Price,Availability,Image_Link,SKU,Brand, google product catogry ,colour,Size ,gender,Age_group,alt_text,free_shipping_limit
Clothing,Bohemian Wide leg pants,Bohemian Pants,https://nyarose.com/products/bohemian-wide-leg-pants,new,25.98 USD,in stock,https://ibb.co/nc4JpSz,43578233-red-l,Nya Rose,Apparel > Adult > Pants,Red,large,Unisex,Adult,,30 USD
Clothing,Bohemian Wide leg pants,Bohemian wide leg pants with floral print design sit perfectly at the waist. Pair these effortless boho wide leg pants with any Nyarose clothing and you are ready for any adventure.,https://nyarose.com/products/bohemian-wide-leg-pants,new,25.98 USD,in stock,https://ibb.co/nc4JpSz,43578233-red-s,Nya Rose,Apparel > Adult > Pants,Red,small,unisex,Adult,,30 USD
Clothing,Bohemian Wide leg pants,. High quality Fabric,https://nyarose.com/products/bohemian-wide-leg-pants,new,25.98 USD,in stock,https://ibb.co/nc4JpSz,43578233-red-m,Nya Rose,Apparel > Adult > Pants,Red,Medium,unisex,Adult,,30 USD
Clothing,Bohemian Wide leg pants,. Beautiful Floral Design,https://nyarose.com/products/bohemian-wide-leg-pants,new,25.98 USD,in stock,https://ibb.co/nc4JpSz,43578233-red-s,Nya Rose,Apparel > Adult > Pants,Red,small,unisex,Adult,,30 USD
Clothing,Bohemian Wide leg pants,. Highwaist,https://nyarose.com/products/bohemian-wide-leg-pants,new,25.98 USD,in stock,https://ibb.co/nc4JpSz,43578233-red-m,Nya Rose,Apparel > Adult > Pants,Red,medium,unisex,Adult,,30 USD
Clothing,Bohemian Print Jumpsuit,Bohemian Jumpsuit,https://nyarose.com/products/bohemian-print-long-jumpsuit,new,25.98 USD,in stock,https://ibb.co/zZDPsSY,43187798-s-apricot,Nya Rose,Apparel > Adult > Jumpsuit,Apricot,Small,Unisex,Adult,,30 USD
Clothing,Bohemian Print Jumpsuit,. Stunning Pattern Design,https://nyarose.com/products/bohemian-print-long-jumpsuit,new,45.76 USD,in stock,https://ibb.co/zZDPsSY,43187798-m-apricot,Nya Rose,Apparel > Adult > Jumpsuit,Apricot,Medium,Unisex,Adult,,30 USD
Clothing,Bohemian Print Jumpsuit,. Wide open Leg,https://nyarose.com/products/bohemian-print-long-jumpsuit,new,45.76 USD,in stock,https://ibb.co/zZDPsSY,43187798-l-apricot,Nya Rose,Apparel > Adult > Jumpsuit,Apricot,Large,Unisex,Adult,,30 USD
Clothing,Bohemian Print Jumpsuit,Cotton Material,https://nyarose.com/products/bohemian-print-long-jumpsuit,new,45.76 USD,in stock,https://ibb.co/zZDPsSY,43187798-s-apricot,Nya Rose,Apparel > Adult > Jumpsuit,Apricot,small,Unisex,Adult,,30 USD
Clothing,Bohemian Print Jumpsuit,"This sexy wide leg cotton Jumpsuit is what every bohemian girl needs. With a beautiful deep v neck, this summer playsuit is perfect for thos festivals or days on the beach. Layer this up with one of Nya Rose Cardigans for the fall and you have an outfit that sees you through all the seasons.",https://nyarose.com/products/bohemian-print-long-jumpsuit,new,45.76 USD,in stock,https://ibb.co/zZDPsSY,43187798-m-apricot,Nya Rose,Apparel > Adult > Jumpsuit,Apricot,medium,Unisex,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,Lazy Style 3 Piece Suit,https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/kQKnTQc,46317699-pink-s,Nya Rose,Apparel > Adult > 3 Piece Suit,Pink,small,Female,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,. Cotton and Polyester Material,https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/kQKnTQc,46317699-pink-m,Nya Rose,Apparel > Adult > 3 Piece Suit,Pink,medium,Female,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,". lightweight, Elastic Waist with wide leg Flare",https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/kQKnTQc,46317699-pink-l,Nya Rose,Apparel > Adult > 3 Piece Suit,Pink,large,Female,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,. Dusty Pink and bright White,https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/kQKnTQc,46317699-pink-xl,Nya Rose,Apparel > Adult > 3 Piece Suit,Pink,x large,Female,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,This fitted yet oversized 3 piece suit really is a statement piece. Use these all together or pair them with other Nya Rose apparal to create your own bohemian style. The loose look gives such a sense of freedom whilst being perfectly stylish.,https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/WyWCkKq,46317699-white-s,Nya Rose,Apparel > Adult > 3 Piece Suit,White,small,Female,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,This fitted yet oversized 3 piece suit really is a statement piece. Use these all together or pair them with other Nya Rose apparal to create your own bohemian style. The loose look gives such a sense of freedom whilst being perfectly stylish.,https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/WyWCkKq,46317699-white-m,Nya Rose,Apparel > Adult > 3 Piece Suit,White,medium,Female,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,This fitted yet oversized 3 piece suit really is a statement piece. Use these all together or pair them with other Nya Rose apparal to create your own bohemian style. The loose look gives such a sense of freedom whilst being perfectly stylish.,https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/WyWCkKq,46317699-white-l,Nya Rose,Apparel > Adult > 3 Piece Suit,White,large,Female,Adult,,30 USD
Clothing,Lazy style 3 piece Suit,This fitted yet oversized 3 piece suit really is a statement piece. Use these all together or pair them with other Nya Rose apparal to create your own bohemian style. The loose look gives such a sense of freedom whilst being perfectly stylish.,https://nyarose.com/products/lazy-style-oversized-3-pieces-suits,new,43.98 USD,in stock,https://ibb.co/WyWCkKq,46317699-white-xl,Nya Rose,Apparel > Adult > 3 Piece Suit,White,x large,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,Bohemian Knitted Fall Sweater,https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/DVR7Ldc,46739055-s-china-white,Nya Rose,Apparel > Adult > Sweater,White,small,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,. High quality Cotton,https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/DVR7Ldc,46739055-m-china-white,Nya Rose,Apparel > Adult > Sweater,White,medium,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,. Cute detailed design,https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/DVR7Ldc,46739055-l-china-white,Nya Rose,Apparel > Adult > Sweater,White,large,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,. 2 Stunning colours,https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/DVR7Ldc,46739055-xl-china-white,Nya Rose,Apparel > Adult > Sweater,White,x large,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,"This cute Fall Pull over sweater is just perfect for the end of summer to fall weather. Cosy up in this light weight super cute design. Bell bottom arms, croptop style. Available in two wonderful colours. White and Burnt Orange.",https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/Xb6VcTP,46739055-s-china-orange,Nya Rose,Apparel > Adult > Sweater,Burnt Orange,small,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,"This cute Fall Pull over sweater is just perfect for the end of summer to fall weather. Cosy up in this light weight super cute design. Bell bottom arms, croptop style. Available in two wonderful colours. White and Burnt Orange.",https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/Xb6VcTP,46739055-m-china-orange,Nya Rose,Apparel > Adult > Sweater,Burnt Orange,medium,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,"This cute Fall Pull over sweater is just perfect for the end of summer to fall weather. Cosy up in this light weight super cute design. Bell bottom arms, croptop style. Available in two wonderful colours. White and Burnt Orange.",https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/Xb6VcTP,46739055-l-china-orange,Nya Rose,Apparel > Adult > Sweater,Burnt Orange,large,Female,Adult,,30 USD
Clothing,Bohemian Knited Sweater,"This cute Fall Pull over sweater is just perfect for the end of summer to fall weather. Cosy up in this light weight super cute design. Bell bottom arms, croptop style. Available in two wonderful colours. White and Burnt Orange.",https://nyarose.com/products/bohemian-knitted-sweater,new,62.42 USD,in stock,https://ibb.co/Xb6VcTP,46739055-xl-china-orange,Nya Rose,Apparel > Adult > Sweater,Burnt Orange,x large,Female,Adult,,30 USD
Clothing,Handmade Crochet Top,Handmade Crochet Croptop,https://nyarose.com/products/handmade-crochet-croptop,new,31.99 USD,in stock,https://ibb.co/khjZbry,44815173-White-s,Nya Rose,Apparel > Adult > Croptop,White,small,unisex,Adult,,30 USD
Clothing,Handmade Crochet Top,. Beautifully designed,https://nyarose.com/products/handmade-crochet-croptop,new,31.99 USD,in stock,https://ibb.co/khjZbry,44815173-White-m,Nya Rose,Apparel > Adult > Croptop,White,medium,unisex,Adult,,30 USD
Clothing,Handmade Crochet Top,. Handmade high quality Yarn,https://nyarose.com/products/handmade-crochet-croptop,new,31.99 USD,in stock,https://ibb.co/khjZbry,44815173-White-l,Nya Rose,Apparel > Adult > Croptop,White,large,unisex,Adult,,30 USD
Clothing,Handmade Crochet Top,. Lightweight and fashionable,https://nyarose.com/products/handmade-crochet-croptop,new,31.99 USD,in stock,https://ibb.co/khjZbry,44815173-White-s,Nya Rose,Apparel > Adult > Croptop,white,small,unisex,Adult,,30 USD
Clothing,Handmade Crochet Top,This stunningly handmade crochet Croptop is everything bohemian. Cute tassels that meet at the waist make this very flattering and in trend. Available in true white.,https://nyarose.com/products/handmade-crochet-croptop,new,31.99 USD,in stock,https://ibb.co/khjZbry,44815173-White-m,Nya Rose,Apparel > Adult > Croptop,Beige,medium,unisex,Adult,,30 USD
